City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-14.17,100,100,2.26,RU,1701735474
1,vadso,70.0744,29.7487,28.56,64,75,10.36,NO,1701735457
2,adamstown,-25.066,-130.1015,73.2,76,91,11.65,PN,1701735423
3,blackmans bay,-43.0167,147.3167,72.52,58,95,3.0,AU,1701735428
4,peace river,56.2501,-117.286,30.51,86,75,4.61,CA,1701735487
5,port-aux-francais,-49.35,70.2167,39.16,72,63,24.2,TF,1701735418
6,yunfu,22.9306,112.0373,59.13,83,89,2.42,CN,1701735668
7,invercargill,-46.4,168.35,58.95,47,20,7.05,NZ,1701735445
8,port mathurin,-19.6833,63.4167,78.64,81,33,12.53,MU,1701735471
9,puerto ayora,-0.7393,-90.3518,75.54,92,84,5.01,EC,1701735426
10,preobrazheniye,42.9019,133.9064,33.12,64,3,4.7,RU,1701735463
11,odda,60.0691,6.5457,28.78,96,23,4.43,NO,1701735669
12,ribeira grande,38.5167,-28.7,63.77,82,89,17.0,PT,1701735438
13,abyek,36.0667,50.55,33.4,25,43,1.77,IR,1701735670
14,hawaiian paradise park,19.5933,-154.9731,80.11,81,0,10.36,US,1701735450
15,bredasdorp,-34.5322,20.0403,62.01,71,89,2.51,ZA,1701735450
16,ust-nera,64.5667,143.2,-52.15,98,79,5.03,RU,1701735421
17,badger,64.8,-147.5333,-1.64,81,40,0.0,US,1701735441
18,waitangi,-43.9535,-176.5597,56.82,67,74,3.0,NZ,1701735436
19,whangarei,-35.7317,174.3239,66.38,94,100,3.74,NZ,1701735671
20,utrik,11.2278,169.8474,81.39,79,60,19.93,MH,1701735478
21,puerto natales,-51.7236,-72.4875,50.38,79,90,11.79,CL,1701735444
22,okhotsk,59.3833,143.3,-28.55,83,27,11.92,RU,1701735534
23,imbituba,-28.24,-48.6703,68.92,94,100,11.14,BR,1701735672
24,newman,37.3138,-121.0208,64.29,45,68,1.01,US,1701735539
25,avarua,-21.2078,-159.775,73.45,94,75,13.8,CK,1701735458
26,tiksi,71.6872,128.8694,-14.64,98,100,8.21,RU,1701735462
27,alaghsas,17.0187,8.0168,72.27,17,21,11.41,NE,1701735582
28,pineville,31.3224,-92.4343,53.87,49,0,8.05,US,1701735673
29,susuman,62.7833,148.1667,-45.02,100,99,1.99,RU,1701735518
30,usogorsk,63.4106,48.6872,2.66,98,98,4.65,RU,1701735447
31,iqaluit,63.7506,-68.5145,15.53,86,75,3.44,CA,1701735454
32,holualoa,19.6228,-155.9522,78.64,76,40,9.22,US,1701735239
33,pitimbu,-7.4706,-34.8086,81.19,79,89,12.5,BR,1701735674
34,perry,37.2506,-83.1999,51.98,86,68,3.29,US,1701735445
35,lebu,-37.6167,-73.65,54.41,88,0,16.75,CL,1701735535
36,bandarbeyla,9.4942,50.8122,76.06,75,55,21.43,SO,1701735675
37,fale old settlement,-9.3852,-171.2468,83.95,76,89,12.82,TK,1701735517
38,albany,42.6001,-73.9662,40.68,86,100,3.0,US,1701735283
39,stanley,54.868,-1.6985,41.77,94,75,9.22,GB,1701735416
40,la ronge,55.1001,-105.2842,23.25,86,75,5.75,CA,1701735676
41,bethel,41.3712,-73.414,45.54,71,0,4.61,US,1701735417
42,la'ie,21.6477,-157.9253,85.96,74,18,7.0,US,1701735530
43,sabang,5.8933,95.3214,78.98,85,100,2.91,ID,1701735677
44,taoudenni,22.6783,-3.9836,69.53,26,14,11.68,ML,1701735677
45,katsuren-haebaru,26.3369,127.8719,75.22,78,75,14.97,JP,1701735678
46,anadyr,64.75,177.4833,-1.7,84,40,15.66,RU,1701735432
47,tromso,69.6496,18.957,24.82,86,40,2.3,NO,1701735495
48,laojunmiao,39.8333,97.7333,27.79,37,72,19.8,CN,1701735444
49,saint-francois,46.4154,3.9054,45.84,77,100,12.66,FR,1701735543
50,isafjordur,66.0755,-23.124,31.48,84,100,8.34,IS,1701735453
51,tazovsky,67.4667,78.7,-34.26,100,29,3.02,RU,1701735520
52,bikenibeu village,1.3673,173.1241,82.08,80,98,18.03,KI,1701735556
53,masina,-4.3836,15.3914,72.79,95,100,1.63,CD,1701735680
54,udachny,66.4167,112.4,-38.56,72,96,3.76,RU,1701735525
55,krutinka,56.0055,71.5113,12.25,95,100,15.73,RU,1701735681
56,outjo,-20.1167,16.15,73.71,55,97,5.17,NA,1701735681
57,kodiak,57.79,-152.4072,35.11,93,100,19.57,US,1701735435
58,yellowknife,62.456,-114.3525,-5.93,100,77,4.27,CA,1701735289
59,jamestown,42.097,-79.2353,36.55,97,100,10.36,US,1701735471
60,kapuskasing,49.4169,-82.4331,15.89,85,75,4.61,CA,1701735459
61,fort bragg,35.139,-79.006,53.91,67,0,0.0,US,1701735466
62,wailua homesteads,22.0669,-159.378,80.13,72,0,13.8,US,1701735469
63,thompson,55.7435,-97.8558,21.36,93,100,0.0,CA,1701735337
64,west island,-12.1568,96.8225,80.58,78,40,12.66,CC,1701735452
65,longyearbyen,78.2186,15.6401,26.44,74,75,14.97,SJ,1701735446
66,ballina,-28.8667,153.5667,79.79,64,13,7.47,AU,1701735395
67,keflavik,64.0049,-22.5624,37.83,87,75,20.71,IS,1701735471
68,prado,-17.3411,-39.2208,78.33,85,1,12.03,BR,1701735684
69,kruisfontein,-34.0033,24.7314,59.88,91,7,8.1,ZA,1701735529
70,villa emilio carranza,19.9667,-96.6,70.99,84,100,9.44,MX,1701735684
71,edinburgh of the seven seas,-37.0676,-12.3116,61.45,95,97,23.64,SH,1701735418
72,colonia,50.9333,6.95,39.58,90,75,9.22,DE,1701735180
73,bull savanna,17.8868,-77.5902,76.51,79,28,4.14,JM,1701735685
74,papatowai,-46.5619,169.4708,59.68,55,6,10.69,NZ,1701735447
75,flying fish cove,-10.4217,105.6791,78.48,83,75,12.66,CX,1701735522
76,posto fiscal rolim de moura,-13.0833,-62.2667,73.76,96,100,2.86,BR,1701735686
77,bikaner,28.0167,73.3,61.39,41,0,5.17,IN,1701735687
78,tolanaro,-25.0319,46.9987,71.74,85,79,12.95,MG,1701735520
79,daru,-9.0763,143.2092,85.51,65,51,11.05,PG,1701735551
80,grytviken,-54.2811,-36.5092,33.58,71,27,9.44,GS,1701735417
81,st. john's,47.5649,-52.7093,33.98,96,100,12.66,CA,1701735453
82,zheleznodorozhnyy,55.7503,38.0042,10.92,99,47,3.13,RU,1701735688
83,lihue,21.9789,-159.3672,80.74,71,0,13.8,US,1701735435
84,old orchard beach,43.5173,-70.3775,35.26,88,100,5.75,US,1701735688
85,puerto maldonado,-12.6,-69.1833,74.43,98,89,1.21,PE,1701735689
86,egilsstadir,65.2653,-14.3948,12.11,92,40,4.61,IS,1701735430
87,olonkinbyen,70.9221,-8.7187,28.69,79,100,10.4,SJ,1701735519
88,carnarvon,-24.8667,113.6333,79.65,57,24,19.86,AU,1701735540
89,laguna,38.421,-121.4238,67.1,66,0,0.0,US,1701735456
90,dawei,14.0833,98.2,75.4,86,91,2.82,MM,1701735690
91,wuxue,29.8506,115.5525,48.54,50,62,2.75,CN,1701735691
92,uturoa,-16.7333,-151.4333,80.35,79,100,17.2,PF,1701735460
93,enewetak,11.3474,162.3373,81.9,74,98,21.27,MH,1701735448
94,fortuna,40.5982,-124.1573,62.98,87,100,14.97,US,1701735692
95,merlo,-32.3429,-65.014,55.9,64,99,7.72,AR,1701735692
96,palmer,42.1584,-72.3287,44.24,81,75,3.44,US,1701735616
97,zemoura,35.7225,0.7551,57.24,54,97,3.51,DZ,1701735693
98,remire-montjoly,4.9167,-52.2667,80.64,89,0,2.3,GF,1701735419
99,barabinsk,55.3571,78.357,5.59,94,100,9.48,RU,1701735695
100,yuzhno-kurilsk,44.0306,145.8556,39.38,68,11,14.07,RU,1701735455
101,'ain el melh,34.8415,4.1638,47.23,41,94,5.01,DZ,1701735696
102,port victoria,0.0939,33.9756,69.04,81,73,7.49,KE,1701735696
103,cannonvale,-20.2833,148.7,83.59,66,26,13.89,AU,1701735697
104,shingu,33.7333,135.9833,50.77,72,100,8.28,JP,1701735698
105,hithadhoo,-0.6,73.0833,80.37,75,90,1.7,MV,1701735493
106,alice springs,-23.7,133.8833,94.55,15,0,16.11,AU,1701735464
107,barakani,-12.1356,44.4317,80.64,78,90,5.66,KM,1701735699
108,fiche,9.8,38.7333,48.9,54,17,1.32,ET,1701735699
109,kingston,17.997,-76.7936,80.24,84,41,3.51,JM,1701735227
110,nova sintra,14.8667,-24.7167,72.54,77,43,9.89,CV,1701735438
111,itoman,26.1247,127.6694,75.22,78,75,25.32,JP,1701735700
112,arar,30.9753,41.0381,55.42,44,0,0.0,SA,1701735700
113,urjala,61.0833,23.5333,10.83,98,76,2.08,FI,1701735700
114,georgetown,5.4112,100.3354,80.94,83,20,5.75,MY,1701735438
115,kailua-kona,19.6406,-155.9956,82.36,75,40,9.22,US,1701735501
116,punta arenas,-53.15,-70.9167,55.11,66,100,18.88,CL,1701735159
117,ngaruawahia,-37.6674,175.1555,66.42,86,100,4.0,NZ,1701735702
118,vorgashor,67.5833,63.95,-18.4,94,5,5.44,RU,1701735502
119,midvagur,62.0511,-7.1939,36.43,80,75,8.05,FO,1701735702
120,sisimiut,66.9395,-53.6735,19.92,80,100,6.55,GL,1701735506
121,atafu village,-8.5421,-172.5159,84.51,76,83,13.15,TK,1701735430
122,hermanus,-34.4187,19.2345,62.64,73,99,5.61,ZA,1701735453
123,zhezqazghan,47.7833,67.7667,34.92,66,100,8.23,KZ,1701735703
124,nouadhibou,20.931,-17.0347,66.18,82,97,12.66,MR,1701735703
125,talnakh,69.4865,88.3972,-25.8,85,99,3.38,RU,1701735477
126,petropavlovsk-kamchatsky,53.0452,158.6483,23.59,81,100,8.01,RU,1701735487
127,margaret river,-33.95,115.0667,62.87,62,100,5.73,AU,1701735426
128,aoulef,26.9667,1.0833,58.53,27,3,9.71,DZ,1701735704
129,yaren,-0.5472,166.916,83.07,76,98,11.48,NR,1701735705
130,arteche,12.2645,125.4048,80.94,88,70,7.31,PH,1701735705
131,whitehorse,60.7161,-135.0538,18.37,92,100,0.0,CA,1701735452
132,sitka,57.0531,-135.33,48.09,61,75,21.85,US,1701735473
133,klyuchi,52.2667,79.1667,21.15,86,100,14.14,RU,1701735567
134,lawas,13.764,121.0566,80.98,81,96,5.32,PH,1701735706
135,murzuq,25.9155,13.9184,56.71,57,0,7.81,LY,1701735581
136,touros,-5.1989,-35.4608,79.88,81,51,12.57,BR,1701735582
137,agua dulce,18.1333,-94.1333,74.98,86,59,14.52,MX,1701735706
138,fuente obejuna,38.2667,-5.4167,45.72,92,100,1.74,ES,1701735707
139,cienega de flores,25.95,-100.1833,68.52,63,40,2.3,MX,1701735664
140,ballito,-29.539,31.2144,68.14,94,75,12.66,ZA,1701735628
141,chinchilla,-26.75,150.6333,82.72,52,7,7.11,AU,1701735708
142,dalandzadgad,43.5708,104.425,26.83,48,95,22.5,MN,1701735708
143,kirakira,-10.4544,161.9205,79.3,90,100,8.52,SB,1701735708
